"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","ensembl_id","SYMBOL","GENENAME","ENTREZID","significance","neg_log10_padj","label"
259.856671625993,0.376089150982925,0.166583121817083,0.00927096039474395,0.0409975239664188,"ENSG00000196371","ENSG00000196371","FUT4","fucosyltransferase 4","2526","Upregulated",1.38724237157765,"FUT4"
1969.84911027071,0.246744971829315,0.095943980580552,0.0092707278272812,0.0409975239664188,"ENSG00000214753","ENSG00000214753","HNRNPUL2","heterogeneous nuclear ribonucleoprotein U like 2","221092","Upregulated",1.38724237157765,"HNRNPUL2"
369.508862025504,0.356709314805894,0.156867984716167,0.00933611565663844,0.0412330232266897,"ENSG00000105656","ENSG00000105656","ELL","elongation factor for RNA polymerase II","8178","Upregulated",1.38475482133413,"ELL"
718.125551778399,0.251138398690827,0.102920977719832,0.0093415260125484,0.0412437747715541,"ENSG00000239697","ENSG00000239697","TNFSF12","TNF superfamily member 12","8742","Upregulated",1.38464159345074,"TNFSF12"
162.876203225843,0.624976637733185,0.390615547425312,0.00938367180154134,0.0413771261525808,"ENSG00000254087","ENSG00000254087","LYN","LYN proto-oncogene, Src family tyrosine kinase","4067","Upregulated",1.38323967653684,"LYN"
977.958328202998,0.357976282617803,0.157762570441614,0.00941747173939171,0.041499918645433,"ENSG00000180628","ENSG00000180628","PCGF5","polycomb group ring finger 5","84333","Upregulated",1.38195275465837,"PCGF5"
1963.67081340835,0.271303960740327,0.112343550316312,0.00949334612606286,0.0417942452227145,"ENSG00000164889","ENSG00000164889","SLC4A2","solute carrier family 4 member 2","6522","Upregulated",1.37888351344213,"SLC4A2"
765.621129267497,0.275418817639753,0.115030195488978,0.00952764069692013,0.0419185944186083,"ENSG00000088038","ENSG00000088038","CNOT3","CCR4-NOT transcription complex subunit 3","4849","Upregulated",1.37759328820173,"CNOT3"
281.355036030432,0.332923971814569,0.143468686532837,0.00954862875489939,0.0419976026385753,"ENSG00000132603","ENSG00000132603","NIP7","nucleolar pre-rRNA processing protein NIP7","51388","Upregulated",1.37677549985338,"NIP7"
14.0937340188668,0.211950322274481,0.412121443108472,0.00957454719119669,0.0420982390618004,"ENSG00000085231","ENSG00000085231","AK6","adenylate kinase 6","102157402","Upregulated",1.37573607000133,"AK6"
