"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"8","1.89","REACTOME_PATHWAY","Neuronal System","14","179","422","11610","5.17","1.31e-2","3.99e-1","2.15","1.00e+0","3.92e-1","5.73e-3","KCND2,ADCY4,GRIK4,NRG1,ADCY1,ADCY8,TUBA4A,TUBA1A,GNG2,KCNS1,TUBB3,CAMK4,LRRTM2,SLITRK6","R-HSA-112316~Neuronal System"
"8","1.89","WIKIPATHWAYS","Pathogenic Escherichia coli infection","5","160","55","9015","1.85","1.58e-2","3.38e-1","5.12","9.99e-1","3.29e-1","2.81e-3","TUBA1A,TUBB3,TUBB,ARHGEF2,TUBA4A","WP2272:Pathogenic Escherichia coli infection"
"8","1.89","REACTOME_PATHWAY","Signaling by Hedgehog","7","179","136","11610","2.58","1.82e-2","4.47e-1","3.34","1.00e+0","4.39e-1","5.08e-3","TUBA1A,TUBB3,ADCY4,ADCY1,ADCY8,TUBA4A,CDON","R-HSA-5358351~Signaling by Hedgehog"
"8","1.89","REACTOME_PATHWAY","Hedgehog 'off' state","6","179","100","11610","2.21","1.87e-2","4.47e-1","3.89","1.00e+0","4.39e-1","4.45e-3","TUBA1A,TUBB3,ADCY4,ADCY1,ADCY8,TUBA4A","R-HSA-5610787~Hedgehog 'off' state"
"8","1.89","REACTOME_PATHWAY","Calmodulin induced events","4","179","37","11610","1.48","1.88e-2","4.47e-1","7.01","1.00e+0","4.39e-1","2.43e-3","CAMK4,ADCY4,ADCY1,ADCY8","R-HSA-111933~Calmodulin induced events"
"8","1.89","REACTOME_PATHWAY","CaM pathway","4","179","37","11610","1.48","1.88e-2","4.47e-1","7.01","1.00e+0","4.39e-1","2.43e-3","CAMK4,ADCY4,ADCY1,ADCY8","R-HSA-111997~CaM pathway"
"8","1.89","GOTERM_MF_DIRECT","structural constituent of cytoskeleton","6","259","124","19319","2.21","2.55e-2","5.62e-1","3.61","1.00e+0","5.62e-1","6.57e-3","SPTBN4,TUBA1A,TUBB3,TUBB,TUBA4A,LMNB1","GO:0005200~structural constituent of cytoskeleton"
"8","1.89","REACTOME_PATHWAY","Transmission across Chemical Synapses","10","179","280","11610","3.69","2.86e-2","5.43e-1","2.32","1.00e+0","5.32e-1","1.16e-2","TUBA1A,GNG2,TUBB3,CAMK4,ADCY4,GRIK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-112315~Transmission across Chemical Synapses"
"8","1.89","GOTERM_BP_DIRECT","microtubule-based process","4","256","52","19172","1.48","3.19e-2","5.89e-1","5.76","1.00e+0","5.83e-1","5.09e-3","TUBA1A,TUBB3,TUBB,TUBA4A","GO:0007017~microtubule-based process"
"8","1.89","KEGG_PATHWAY","Pathogenic Escherichia coli infection","8","150","200","9375","2.95","4.02e-2","2.40e-1","2.50","1.00e+0","2.08e-1","1.49e-2","CLDN11,JUN,TUBA1A,TUBB3,TUBB,ARHGEF2,PAK3,TUBA4A","hsa05130:Pathogenic Escherichia coli infection"
